location_id,date,weather_condition,temp_c,rainfall_mm,aqi,traffic_level,car_pct,bus_pct,metro_pct,ebikes_bikes_pct,shuttle_walk_pct
1,2020-08-08,Heavy Rain,24,110,118,Heavy Congestion,24.4,24,45.9,2.7,3
1,2020-08-12,Thunderstorm,32,99,145,Heavy Congestion,26.2,24.5,43.6,2.6,3.1
1,2020-08-13,Thunderstorm,24,75,89,Low Traffic,36,33.3,25.3,2.3,3.1
1,2020-08-18,Heavy Rain,31,110,148,Low Traffic,34.4,32.7,28.1,2,2.8
1,2020-08-20,Thunderstorm,28,95,149,Moderate Traffic,33.1,30.4,31.5,2.1,2.9
1,2020-08-22,Thunderstorm,25,77,158,Moderate Traffic,32.1,31,32.1,2.1,2.7
1,2020-08-30,Thunderstorm,28,71,55,Low Traffic,36.6,31.5,26.8,2.3,2.8
1,2020-09-03,Heavy Rain,30,65,146,Heavy Congestion,26.2,22.7,45.5,2.5,3.1
1,2020-09-05,Thunderstorm,31,34,53,Low Traffic,35.6,33,26.2,2.4,2.8
1,2020-09-15,Thunderstorm,26,93,94,Heavy Congestion,25.8,22.7,46.1,2.6,2.8
1,2020-09-18,Thunderstorm,26,39,67,Moderate Traffic,34.9,31.4,28.3,2.3,3.1
1,2020-09-23,Heavy Rain,26,76,73,Heavy Congestion,24.4,24.8,44.9,2.9,3
1,2020-10-01,Partly Cloudy,29,8,143,Moderate Traffic,22.8,25.9,22.1,14.9,14.3
1,2020-10-05,Partly Cloudy,32,9,143,Low Traffic,26.6,24.5,21.1,13.8,14
1,2020-10-11,Pleasant / Cool,23,4,126,Low Traffic,18.1,18.6,15.8,24.4,23.1
1,2020-10-17,Pleasant / Cool,31,0,55,Low Traffic,15.4,19.5,15.5,24.2,25.4
1,2020-10-23,Pleasant / Cool,25,10,83,Moderate Traffic,15.2,19.9,16.8,23.6,24.5
1,2020-10-26,Pleasant / Cool,27,6,142,Low Traffic,16.8,19.8,15.2,24.1,24.1
1,2020-11-02,Clear / Sunny,27,9,85,Heavy Congestion,15.2,17.4,35,16.8,15.6
1,2020-11-12,Partly Cloudy,29,4,46,Heavy Congestion,16.4,17.8,33.6,17.2,15
1,2020-11-22,Partly Cloudy,31,1,57,Low Traffic,24.1,25.7,19.1,15.8,15.3
1,2020-12-06,Dense Fog / Smog,19,2,336,Heavy Congestion,12.9,15.9,57.6,6.5,7.1
1,2020-12-12,Dense Fog / Smog,21,5,256,Heavy Congestion,12.9,15,58.2,6.8,7.1
1,2020-12-20,Dense Fog / Smog,11,0,429,Heavy Congestion,12.5,15.3,58.2,6.3,7.7
1,2020-12-23,Dense Fog / Smog,21,5,265,Heavy Congestion,13.1,15.7,57.4,6.8,7
1,2020-12-25,Dense Fog / Smog,15,4,389,Moderate Traffic,18.5,23.5,44.2,6,7.8
1,2020-12-31,Dense Fog / Smog,12,2,303,Heavy Congestion,13.2,15.7,57.1,6.4,7.6
1,2021-01-05,Dense Fog / Smog,14,2,324,Low Traffic,21.2,26.1,37.5,6.8,8.4
1,2021-01-08,Dense Fog / Smog,12,4,319,Heavy Congestion,12.2,16.1,58.3,6.1,7.3
1,2021-01-18,Dense Fog / Smog,14,5,372,Moderate Traffic,20,24.2,42.6,5.9,7.3
1,2021-01-23,Dense Fog / Smog,8,1,295,Moderate Traffic,20.5,20.9,45.2,6.2,7.2
1,2021-01-25,Dense Fog / Smog,12,0,326,Low Traffic,22.2,21.9,41.5,5.9,8.5
1,2021-01-28,Dense Fog / Smog,21,4,319,Moderate Traffic,19.4,22.8,43.6,6.3,7.9
1,2021-02-04,Dense Fog / Smog,22,3,381,Moderate Traffic,19.6,23.4,42.3,6.7,8
1,2021-02-05,Dense Fog / Smog,8,2,310,Moderate Traffic,19.7,22.6,43.4,6.3,8
1,2021-02-13,Dense Fog / Smog,22,5,426,Moderate Traffic,18.6,24.9,42.8,6.2,7.5
1,2021-02-26,Dense Fog / Smog,9,4,385,Moderate Traffic,20.2,21.7,44.5,5.7,7.9
1,2021-03-24,Clear / Sunny,29,0,97,Moderate Traffic,21.4,23.5,23.5,15.5,16.1
1,2021-03-26,Pleasant / Cool,28,6,132,Low Traffic,17.8,20.2,14.3,24.9,22.8
1,2021-03-27,Pleasant / Cool,30,2,73,Heavy Congestion,10.8,14.1,25.7,25.6,23.8
1,2021-04-03,Extreme Heatwave,39,0,148,Low Traffic,40.5,22,30.5,4.1,2.9
1,2021-04-08,Extreme Heatwave,41,0,50,Heavy Congestion,27.1,16.7,48.2,5,3
1,2021-04-23,Extreme Heatwave,40,0,131,Heavy Congestion,25.4,16.2,50.6,4.7,3.1
1,2021-05-01,Extreme Heatwave,42,0,63,Heavy Congestion,27.1,17.4,47.7,4.7,3.1
1,2021-05-06,Extreme Heatwave,43,0,113,Low Traffic,42.7,21.4,28.6,4.1,3.2
1,2021-05-07,Extreme Heatwave,41,0,137,Heavy Congestion,28,16.4,47.5,5,3.1
1,2021-05-08,Extreme Heatwave,41,0,139,Low Traffic,38.9,24.4,29.7,3.8,3.2
1,2021-05-10,Extreme Heatwave,43,0,93,Moderate Traffic,36.7,23,33,3.9,3.4
1,2021-05-19,Extreme Heatwave,40,0,78,Low Traffic,40.6,22.4,30.2,3.8,3
1,2021-05-24,Extreme Heatwave,43,0,142,Moderate Traffic,36.9,23.1,33.3,3.8,2.9
1,2021-05-29,Extreme Heatwave,38,0,49,Heavy Congestion,27.4,15.4,50.2,4.1,2.9
1,2021-06-07,Heavy Rain,31,32,113,Low Traffic,37.7,29.9,27,2.2,3.2
1,2021-06-12,Thunderstorm,25,97,75,Low Traffic,35,32.1,27.9,2.1,2.9
1,2021-06-16,Thunderstorm,25,34,96,Low Traffic,36.9,32.9,25.2,2.1,2.9
1,2021-06-21,Thunderstorm,32,35,72,Low Traffic,37.7,31.6,25.7,2,3
1,2021-06-27,Thunderstorm,27,105,141,Low Traffic,36.7,31.7,26.8,2,2.8
1,2021-06-29,Heavy Rain,32,72,141,Moderate Traffic,33,32,30.1,2,2.9
1,2021-07-07,Thunderstorm,28,87,74,Moderate Traffic,31.7,33.5,29.6,2.2,3
1,2021-08-06,Heavy Rain,27,103,66,Heavy Congestion,26.1,23.9,44.5,2.6,2.9
1,2021-08-12,Heavy Rain,31,106,70,Heavy Congestion,25.8,24.4,43.7,2.7,3.4
1,2021-08-14,Heavy Rain,30,106,83,Low Traffic,35.7,34,25.1,2.1,3.1
1,2021-08-15,Thunderstorm,31,103,86,Low Traffic,35.7,33.3,25.9,2.1,3
1,2021-08-20,Heavy Rain,27,86,151,Moderate Traffic,32.6,32,30.5,2.1,2.8
1,2021-08-27,Heavy Rain,30,98,156,Heavy Congestion,24.6,24.1,45.7,2.5,3.1
1,2021-09-05,Heavy Rain,30,72,58,Moderate Traffic,31.5,31.6,31.5,2.3,3.1
1,2021-09-16,Thunderstorm,26,74,88,Moderate Traffic,33.2,30.8,30.8,2.2,3
1,2021-09-22,Heavy Rain,26,61,67,Heavy Congestion,25.1,24.2,44.9,2.6,3.2
1,2021-09-28,Heavy Rain,30,79,135,Low Traffic,35.7,31.2,27.8,2.3,3
1,2021-10-06,Pleasant / Cool,31,6,95,Heavy Congestion,10.5,13.3,25.4,26.4,24.4
1,2021-10-24,Partly Cloudy,24,7,62,Moderate Traffic,20.7,25.6,22.7,15.4,15.6
1,2021-11-18,Partly Cloudy,22,7,72,Heavy Congestion,17.1,17.2,34,17.5,14.2
1,2021-11-19,Pleasant / Cool,26,5,101,Low Traffic,17.8,18,16.1,22.7,25.4
1,2021-11-21,Partly Cloudy,32,6,123,Low Traffic,24.7,25.1,20.1,14.7,15.4
1,2021-11-28,Partly Cloudy,23,2,52,Moderate Traffic,23.6,25.8,21.1,15.5,14
1,2021-11-30,Partly Cloudy,28,7,118,Low Traffic,25.5,25.4,19.5,13.9,15.7
1,2021-12-05,Dense Fog / Smog,15,3,398,Moderate Traffic,17.7,23.7,44.8,6.2,7.6
1,2021-12-14,Dense Fog / Smog,13,4,283,Heavy Congestion,13.3,16.1,57.2,6.7,6.7
1,2021-12-19,Dense Fog / Smog,15,3,359,Low Traffic,21.9,25.4,38.2,6.6,7.9
1,2021-12-20,Dense Fog / Smog,12,0,342,Heavy Congestion,12.1,15.2,59.9,5.9,6.9
1,2022-01-03,Dense Fog / Smog,14,5,372,Low Traffic,21.2,23.7,41.3,5.9,7.9
1,2022-01-04,Dense Fog / Smog,10,3,414,Low Traffic,24.1,22.4,39.5,5.8,8.2
1,2022-01-11,Dense Fog / Smog,9,0,442,Low Traffic,21.3,25,38.9,6.3,8.5
1,2022-01-18,Dense Fog / Smog,8,5,302,Moderate Traffic,19.3,22.8,45,5.8,7.1
1,2022-01-19,Dense Fog / Smog,11,3,278,Moderate Traffic,19.3,24.4,42.2,6.7,7.4
1,2022-01-23,Dense Fog / Smog,14,2,424,Heavy Congestion,11.8,15.3,60.1,5.8,7
1,2022-01-26,Dense Fog / Smog,20,3,323,Heavy Congestion,13.3,16,57.3,6.7,6.7
1,2022-02-06,Dense Fog / Smog,18,5,329,Low Traffic,22.4,24.1,40.5,5.7,7.3
1,2022-02-17,Dense Fog / Smog,16,4,316,Heavy Congestion,12,14.8,59.6,6.1,7.5
1,2022-03-10,Clear / Sunny,22,7,94,Moderate Traffic,23.6,23.2,24.2,13.6,15.4
1,2022-03-15,Pleasant / Cool,26,1,92,Heavy Congestion,10.4,14.9,23.7,26.3,24.7
1,2022-03-18,Pleasant / Cool,26,5,115,Low Traffic,16.5,18.7,14.8,24.7,25.3
1,2022-03-21,Clear / Sunny,30,3,45,Low Traffic,26.6,22.9,20,15.2,15.3
1,2022-03-29,Pleasant / Cool,29,0,136,Low Traffic,16.5,18.2,15,25.6,24.7
1,2022-03-30,Pleasant / Cool,23,9,109,Low Traffic,16,20.5,14.5,24.4,24.6
1,2022-03-31,Clear / Sunny,26,4,147,Moderate Traffic,22.1,26.3,22.3,14.9,14.4
1,2022-04-01,Extreme Heatwave,40,0,58,Heavy Congestion,25.8,16.4,49.9,4.6,3.3
1,2022-04-02,Extreme Heatwave,41,0,84,Moderate Traffic,36.8,23.9,32,4.2,3.1
1,2022-04-06,Extreme Heatwave,40,0,136,Low Traffic,40,22.4,30.3,4.2,3.1
1,2022-04-07,Extreme Heatwave,38,0,154,Moderate Traffic,36.7,23.4,32.7,3.9,3.3
1,2022-04-10,Extreme Heatwave,41,0,70,Low Traffic,41.9,21.5,29.5,4,3.1
1,2022-04-15,Extreme Heatwave,45,0,56,Low Traffic,42.3,23,28,3.6,3.1
1,2022-04-18,Extreme Heatwave,44,0,48,Moderate Traffic,36.6,22.4,33.6,4.3,3.1
1,2022-04-25,Extreme Heatwave,45,0,56,Low Traffic,41,22,29.3,4.4,3.3
1,2022-04-29,Extreme Heatwave,43,0,114,Moderate Traffic,37.9,21.5,33.8,3.8,3
1,2022-05-17,Extreme Heatwave,44,0,152,Moderate Traffic,39.5,21.1,32.3,3.8,3.3
1,2022-05-24,Extreme Heatwave,45,0,84,Heavy Congestion,27,16.6,48.4,4.9,3.1
1,2022-06-01,Thunderstorm,26,105,63,Heavy Congestion,24.5,24.7,45.3,2.7,2.8
1,2022-06-02,Thunderstorm,25,73,86,Moderate Traffic,31.4,30.3,32.8,2.3,3.2
1,2022-06-05,Heavy Rain,29,58,120,Heavy Congestion,25.4,23.6,45.7,2.5,2.8
1,2022-06-09,Heavy Rain,24,53,85,Heavy Congestion,25.9,26,42.3,2.6,3.2
1,2022-06-13,Thunderstorm,25,72,46,Moderate Traffic,33.3,32,29.6,2.2,2.9
1,2022-06-17,Heavy Rain,31,78,114,Moderate Traffic,31.4,32.5,30.9,2.2,3
1,2022-06-26,Thunderstorm,25,100,88,Low Traffic,36.9,32,26,2,3.1
1,2022-06-28,Thunderstorm,25,72,69,Low Traffic,35.5,31.5,27.8,2.2,3
1,2022-07-07,Heavy Rain,31,55,48,Low Traffic,34.7,32.2,28.2,2.2,2.7
1,2022-07-10,Thunderstorm,32,79,92,Low Traffic,38.5,30.7,25.8,2.1,2.9
1,2022-07-19,Heavy Rain,32,37,149,Moderate Traffic,31.8,32.9,30.1,2.3,2.9
1,2022-07-23,Thunderstorm,32,103,124,Heavy Congestion,23.2,26.4,44.7,2.8,2.9
1,2022-07-30,Thunderstorm,28,70,148,Heavy Congestion,23.7,25,45.7,2.6,3
1,2022-08-01,Heavy Rain,32,83,98,Low Traffic,35.1,32.6,27.1,2.4,2.8
1,2022-08-05,Heavy Rain,30,63,128,Moderate Traffic,33.5,32.9,28.6,2.2,2.8
1,2022-08-09,Thunderstorm,27,36,105,Heavy Congestion,26.3,26.3,41.7,2.8,2.9
1,2022-08-14,Thunderstorm,31,71,138,Moderate Traffic,32.9,32.8,29.1,2.1,3.1
1,2022-08-17,Heavy Rain,32,50,84,Low Traffic,37.1,30.7,27.1,2.2,2.9
1,2022-08-19,Thunderstorm,24,61,103,Low Traffic,35.6,32.6,26.4,2.3,3.1
1,2022-08-21,Heavy Rain,27,77,121,Moderate Traffic,32,33.4,29.6,2.2,2.8
1,2022-08-22,Thunderstorm,25,66,94,Low Traffic,34,33.5,27.6,2.1,2.8
1,2022-08-27,Heavy Rain,24,90,127,Low Traffic,35.1,33.8,25.6,2.3,3.2
1,2022-08-31,Heavy Rain,31,62,104,Low Traffic,35.9,32.1,27.1,2.2,2.7
1,2022-09-01,Heavy Rain,29,101,121,Heavy Congestion,25.9,24.6,43.6,2.5,3.4
1,2022-09-03,Thunderstorm,28,54,111,Low Traffic,36.4,32.2,26.4,2.2,2.8
1,2022-09-08,Thunderstorm,30,81,139,Moderate Traffic,30.7,33.1,31,2.1,3.1
1,2022-09-12,Heavy Rain,32,68,152,Low Traffic,37.5,31.9,25.4,2.2,3
1,2022-09-15,Heavy Rain,29,41,90,Low Traffic,35,33.7,26.1,2.3,2.9
1,2022-09-29,Thunderstorm,27,73,117,Moderate Traffic,34,33.2,27.8,2.3,2.7
1,2022-10-02,Pleasant / Cool,32,0,102,Low Traffic,16.1,20,14.6,24.8,24.5
1,2022-10-08,Pleasant / Cool,22,0,70,Heavy Congestion,10.6,14.5,25.2,26.7,23
1,2022-10-13,Pleasant / Cool,24,1,109,Moderate Traffic,15.5,18.4,18.8,23.3,24
1,2022-10-17,Clear / Sunny,27,7,141,Moderate Traffic,21,26.3,24.1,14.5,14.1
1,2022-10-26,Pleasant / Cool,30,9,121,Low Traffic,18,19.6,15.6,21.8,25
1,2022-11-09,Clear / Sunny,30,9,81,Low Traffic,24.7,24.8,20.1,15.1,15.3
1,2022-11-17,Pleasant / Cool,25,0,130,Low Traffic,15.9,18.1,15.7,23.9,26.4
1,2022-11-21,Partly Cloudy,25,7,78,Moderate Traffic,23.3,24.4,22.7,14.5,15.1
1,2022-11-28,Partly Cloudy,32,2,90,Moderate Traffic,23.2,26,21.5,15.1,14.2
1,2022-12-03,Dense Fog / Smog,19,3,416,Moderate Traffic,21,22.2,41.9,6.4,8.5
1,2022-12-04,Dense Fog / Smog,9,3,373,Heavy Congestion,13.9,16.7,55.9,6.4,7.1
1,2022-12-07,Dense Fog / Smog,22,1,374,Moderate Traffic,19.3,23.9,42.7,6.1,8
1,2022-12-13,Dense Fog / Smog,18,2,383,Heavy Congestion,13.3,16.1,56.9,6.6,7.1
1,2022-12-17,Dense Fog / Smog,22,4,252,Low Traffic,22.4,22.1,40.7,6.5,8.3
1,2022-12-21,Dense Fog / Smog,8,4,390,Low Traffic,23.2,23.8,38.2,6.3,8.5
1,2022-12-23,Dense Fog / Smog,15,2,377,Low Traffic,23.7,22.5,39.6,5.9,8.3
1,2022-12-24,Dense Fog / Smog,20,4,413,Heavy Congestion,12.8,16.3,56.3,6.7,7.9
2,2019-01-07,Pleasant / Cool,20,2,111,Heavy Congestion,10.2,13,25.9,26.2,24.7
2,2019-01-13,Pleasant / Cool,11,3,136,Low Traffic,16.4,20,14.2,24.3,25.1
2,2019-01-15,Pleasant / Cool,15,5,109,Heavy Congestion,10.1,14.2,25,24.9,25.8
2,2019-01-16,Pleasant / Cool,15,4,133,Low Traffic,17.1,20,14.5,23.4,25
2,2019-01-17,Pleasant / Cool,16,3,122,Moderate Traffic,15.3,19.1,16.2,24.3,25.1
2,2019-01-25,Pleasant / Cool,19,5,125,Heavy Congestion,9.9,13.1,25.1,26.9,25
2,2019-01-28,Pleasant / Cool,10,4,133,Heavy Congestion,10.6,14.2,25.2,26.3,23.7
2,2019-01-29,Pleasant / Cool,19,3,140,Heavy Congestion,11.4,14.1,26.2,26.3,22
2,2019-02-05,Pleasant / Cool,18,2,152,Low Traffic,15.9,20.4,14.9,24.4,24.4
2,2019-02-22,Pleasant / Cool,8,0,77,Heavy Congestion,10.2,14.8,26,26.3,22.7
2,2019-03-04,Clear / Sunny,24,2,110,Heavy Congestion,16.1,18.2,33.4,17.4,14.9
2,2019-03-05,Clear / Sunny,27,7,64,Heavy Congestion,14.7,19.7,32.9,17.7,15
2,2019-03-06,Pleasant / Cool,29,9,90,Heavy Congestion,9.7,14.3,24.4,28.1,23.5
2,2019-03-12,Partly Cloudy,27,5,82,Moderate Traffic,20.9,25.4,22.5,15.8,15.4
