trip_id,stand_name,location_id,trip_time,vehicles_available,trips_completed,demand_level
46,Qutab Minar Metro Exit,1,2019-09-24 08:00:00+00,16,32,Balanced
47,Qutab Minar Metro Exit,1,2019-09-29 08:00:00+00,10,69,Balanced
48,Chandni Chowk Metro Gate 3,1,2019-10-01 20:00:00+00,30,74,Low Demand
49,Kashmere Gate ISBT,1,2019-10-03 17:00:00+00,32,67,Low Demand
50,Kashmere Gate Metro Interchange,1,2019-10-26 20:00:00+00,26,71,Low Demand
51,Kashmere Gate ISBT,1,2019-10-30 17:00:00+00,33,38,Low Demand
52,Kashmere Gate Metro Interchange,1,2019-11-07 20:00:00+00,27,13,Low Demand
53,Kashmere Gate Metro Interchange,1,2019-11-10 11:00:00+00,18,58,Balanced
54,Qutab Minar Metro Exit,1,2019-11-14 14:00:00+00,18,20,Balanced
55,Kashmere Gate Metro Interchange,1,2019-11-18 11:00:00+00,4,13,Balanced
56,Kashmere Gate Metro Interchange,1,2019-11-19 11:00:00+00,11,40,Balanced
57,Kashmere Gate Metro Interchange,1,2019-12-01 08:00:00+00,21,58,Balanced
58,Kashmere Gate Metro Interchange,1,2019-12-09 20:00:00+00,4,54,High Demand
59,Kashmere Gate ISBT,1,2019-12-19 17:00:00+00,29,32,Low Demand
60,Qutab Minar Metro Exit,1,2019-12-21 14:00:00+00,31,65,Low Demand
61,Qutab Minar Metro Exit,1,2019-12-26 14:00:00+00,17,69,Balanced
62,Kashmere Gate Metro Interchange,1,2020-01-06 20:00:00+00,35,34,Low Demand
63,Chandni Chowk Metro Gate 3,1,2020-02-06 20:00:00+00,8,34,Balanced
64,Kashmere Gate Metro Interchange,1,2020-02-15 17:00:00+00,2,46,Balanced
65,Kashmere Gate Metro Interchange,1,2020-02-20 17:00:00+00,6,61,High Demand
66,Kashmere Gate ISBT,1,2020-02-26 08:00:00+00,9,63,High Demand
67,Chandni Chowk Metro Gate 3,1,2020-03-04 17:00:00+00,5,22,Balanced
68,Kashmere Gate ISBT,1,2020-03-05 11:00:00+00,18,20,Balanced
69,Kashmere Gate ISBT,1,2020-03-18 20:00:00+00,29,24,Low Demand
70,Kashmere Gate Metro Interchange,1,2020-03-21 11:00:00+00,5,31,Balanced
71,Kashmere Gate Metro Interchange,1,2020-03-25 17:00:00+00,31,48,Low Demand
72,Qutab Minar Metro Exit,1,2020-03-27 20:00:00+00,30,20,Low Demand
73,Chandni Chowk Metro Gate 3,1,2020-03-29 14:00:00+00,3,21,Balanced
74,Kashmere Gate Metro Interchange,1,2020-04-01 20:00:00+00,19,15,Balanced
75,Qutab Minar Metro Exit,1,2020-04-07 17:00:00+00,7,70,High Demand
76,Qutab Minar Metro Exit,1,2020-04-11 14:00:00+00,33,46,Low Demand
77,Qutab Minar Metro Exit,1,2020-04-20 08:00:00+00,28,16,Low Demand
78,Qutab Minar Metro Exit,1,2020-04-28 17:00:00+00,9,13,Balanced
79,Kashmere Gate ISBT,1,2020-04-29 20:00:00+00,12,49,Balanced
80,Qutab Minar Metro Exit,1,2020-05-03 08:00:00+00,9,29,Balanced
81,Qutab Minar Metro Exit,1,2020-05-09 11:00:00+00,11,59,Balanced
82,Chandni Chowk Metro Gate 3,1,2020-05-16 14:00:00+00,2,46,Balanced
83,Qutab Minar Metro Exit,1,2020-05-21 17:00:00+00,24,52,Balanced
84,Kashmere Gate Metro Interchange,1,2020-06-07 17:00:00+00,10,74,Balanced
85,Kashmere Gate Metro Interchange,1,2020-06-08 14:00:00+00,30,22,Low Demand
86,Qutab Minar Metro Exit,1,2020-06-16 14:00:00+00,7,52,High Demand
87,Qutab Minar Metro Exit,1,2020-06-17 20:00:00+00,22,72,Balanced
88,Kashmere Gate Metro Interchange,1,2020-06-18 08:00:00+00,17,46,Balanced
89,Qutab Minar Metro Exit,1,2020-06-19 08:00:00+00,8,22,Balanced
90,Chandni Chowk Metro Gate 3,1,2020-06-22 08:00:00+00,5,47,Balanced
91,Chandni Chowk Metro Gate 3,1,2020-07-09 17:00:00+00,12,19,Balanced
92,Kashmere Gate Metro Interchange,1,2020-07-23 14:00:00+00,27,45,Low Demand
93,Qutab Minar Metro Exit,1,2020-07-25 08:00:00+00,20,39,Balanced
94,Chandni Chowk Metro Gate 3,1,2020-08-04 08:00:00+00,30,14,Low Demand
95,Chandni Chowk Metro Gate 3,1,2020-08-13 20:00:00+00,12,42,Balanced
96,Chandni Chowk Metro Gate 3,1,2020-08-14 17:00:00+00,23,24,Balanced
97,Kashmere Gate ISBT,1,2020-09-06 14:00:00+00,6,69,High Demand
98,Qutab Minar Metro Exit,1,2020-09-07 14:00:00+00,9,27,Balanced
99,Kashmere Gate Metro Interchange,1,2020-09-10 08:00:00+00,17,78,Balanced
100,Kashmere Gate ISBT,1,2020-09-15 17:00:00+00,28,22,Low Demand
101,Kashmere Gate Metro Interchange,1,2020-09-18 14:00:00+00,25,37,Balanced
102,Kashmere Gate Metro Interchange,1,2020-09-20 14:00:00+00,25,79,Balanced
103,Kashmere Gate Metro Interchange,1,2020-09-21 14:00:00+00,27,45,Low Demand
104,Kashmere Gate ISBT,1,2020-10-08 14:00:00+00,2,45,Balanced
105,Kashmere Gate ISBT,1,2020-10-09 11:00:00+00,18,32,Balanced
106,Kashmere Gate Metro Interchange,1,2020-10-11 11:00:00+00,24,40,Balanced
107,Chandni Chowk Metro Gate 3,1,2020-10-26 20:00:00+00,31,13,Low Demand
108,Kashmere Gate Metro Interchange,1,2020-11-01 08:00:00+00,22,28,Balanced
109,Chandni Chowk Metro Gate 3,1,2020-11-07 20:00:00+00,31,74,Low Demand
110,Kashmere Gate ISBT,1,2020-11-11 20:00:00+00,29,67,Low Demand
111,Chandni Chowk Metro Gate 3,1,2020-11-12 17:00:00+00,31,61,Low Demand
112,Kashmere Gate Metro Interchange,1,2020-11-19 08:00:00+00,7,21,Balanced
113,Chandni Chowk Metro Gate 3,1,2020-11-25 20:00:00+00,9,62,High Demand
114,Chandni Chowk Metro Gate 3,1,2020-11-29 08:00:00+00,21,55,Balanced
115,Kashmere Gate Metro Interchange,1,2020-12-22 14:00:00+00,13,28,Balanced
116,Qutab Minar Metro Exit,1,2021-02-09 08:00:00+00,3,68,High Demand
117,Qutab Minar Metro Exit,1,2021-02-10 14:00:00+00,27,63,Low Demand
118,Qutab Minar Metro Exit,1,2021-02-13 11:00:00+00,25,21,Balanced
119,Kashmere Gate ISBT,1,2021-02-19 14:00:00+00,23,31,Balanced
120,Kashmere Gate ISBT,1,2021-02-26 11:00:00+00,8,28,Balanced
121,Qutab Minar Metro Exit,1,2021-03-04 17:00:00+00,30,51,Low Demand
122,Kashmere Gate ISBT,1,2021-03-05 14:00:00+00,30,18,Low Demand
123,Qutab Minar Metro Exit,1,2021-03-17 08:00:00+00,31,80,Low Demand
124,Qutab Minar Metro Exit,1,2021-03-18 08:00:00+00,14,51,Balanced
125,Kashmere Gate Metro Interchange,1,2021-03-21 17:00:00+00,23,20,Balanced
126,Chandni Chowk Metro Gate 3,1,2021-04-11 11:00:00+00,7,28,Balanced
127,Qutab Minar Metro Exit,1,2021-04-12 14:00:00+00,10,20,Balanced
128,Kashmere Gate ISBT,1,2021-04-28 17:00:00+00,16,27,Balanced
129,Kashmere Gate ISBT,1,2021-05-07 20:00:00+00,26,29,Low Demand
130,Qutab Minar Metro Exit,1,2021-05-27 17:00:00+00,20,58,Balanced
131,Qutab Minar Metro Exit,1,2021-06-02 08:00:00+00,25,80,Balanced
132,Kashmere Gate Metro Interchange,1,2021-06-03 20:00:00+00,20,20,Balanced
133,Qutab Minar Metro Exit,1,2021-06-06 11:00:00+00,7,38,Balanced
134,Qutab Minar Metro Exit,1,2021-06-08 08:00:00+00,5,60,High Demand
135,Kashmere Gate ISBT,1,2021-06-11 14:00:00+00,3,50,Balanced
136,Kashmere Gate ISBT,1,2021-06-12 14:00:00+00,10,14,Balanced
137,Kashmere Gate Metro Interchange,1,2021-07-04 20:00:00+00,34,40,Low Demand
138,Kashmere Gate Metro Interchange,1,2021-07-14 20:00:00+00,26,70,Low Demand
139,Kashmere Gate ISBT,1,2021-08-01 17:00:00+00,10,18,Balanced
140,Chandni Chowk Metro Gate 3,1,2021-08-03 08:00:00+00,14,15,Balanced
141,Chandni Chowk Metro Gate 3,1,2021-08-05 14:00:00+00,34,60,Low Demand
142,Qutab Minar Metro Exit,1,2021-08-06 20:00:00+00,18,14,Balanced
143,Chandni Chowk Metro Gate 3,1,2021-08-11 14:00:00+00,9,57,High Demand
144,Kashmere Gate ISBT,1,2021-08-15 14:00:00+00,33,73,Low Demand
145,Chandni Chowk Metro Gate 3,1,2021-08-22 11:00:00+00,22,23,Balanced
146,Qutab Minar Metro Exit,1,2021-08-31 14:00:00+00,19,17,Balanced
147,Qutab Minar Metro Exit,1,2021-09-06 11:00:00+00,4,26,Balanced
148,Qutab Minar Metro Exit,1,2021-09-14 14:00:00+00,6,27,Balanced
149,Qutab Minar Metro Exit,1,2021-09-27 14:00:00+00,14,25,Balanced
150,Chandni Chowk Metro Gate 3,1,2021-10-02 14:00:00+00,6,80,High Demand
151,Kashmere Gate ISBT,1,2021-10-04 11:00:00+00,25,75,Balanced
152,Kashmere Gate ISBT,1,2021-10-06 11:00:00+00,33,13,Low Demand
153,Kashmere Gate Metro Interchange,1,2021-10-10 11:00:00+00,6,49,Balanced
154,Kashmere Gate ISBT,1,2021-10-29 08:00:00+00,21,31,Balanced
155,Chandni Chowk Metro Gate 3,1,2021-10-31 11:00:00+00,35,46,Low Demand
156,Kashmere Gate ISBT,1,2021-11-10 11:00:00+00,23,15,Balanced
157,Kashmere Gate ISBT,1,2021-11-23 17:00:00+00,27,48,Low Demand
158,Chandni Chowk Metro Gate 3,1,2021-12-01 14:00:00+00,27,26,Low Demand
159,Qutab Minar Metro Exit,1,2021-12-10 20:00:00+00,17,30,Balanced
160,Kashmere Gate ISBT,1,2021-12-12 14:00:00+00,12,73,Balanced
161,Qutab Minar Metro Exit,1,2021-12-13 17:00:00+00,21,73,Balanced
162,Qutab Minar Metro Exit,1,2021-12-15 20:00:00+00,17,37,Balanced
163,Chandni Chowk Metro Gate 3,1,2022-01-12 20:00:00+00,11,35,Balanced
164,Chandni Chowk Metro Gate 3,1,2022-01-21 11:00:00+00,22,30,Balanced
165,Qutab Minar Metro Exit,1,2022-02-05 08:00:00+00,18,39,Balanced
166,Kashmere Gate ISBT,1,2022-02-15 08:00:00+00,3,66,High Demand
167,Kashmere Gate ISBT,1,2022-02-21 08:00:00+00,35,36,Low Demand
168,Qutab Minar Metro Exit,1,2022-02-23 17:00:00+00,22,32,Balanced
169,Qutab Minar Metro Exit,1,2022-02-28 14:00:00+00,14,41,Balanced
170,Chandni Chowk Metro Gate 3,1,2022-03-03 14:00:00+00,15,72,Balanced
171,Chandni Chowk Metro Gate 3,1,2022-03-06 14:00:00+00,9,79,High Demand
172,Kashmere Gate ISBT,1,2022-03-08 14:00:00+00,20,15,Balanced
173,Kashmere Gate ISBT,1,2022-03-17 14:00:00+00,8,40,Balanced
174,Qutab Minar Metro Exit,1,2022-03-29 17:00:00+00,32,35,Low Demand
175,Kashmere Gate ISBT,1,2022-04-07 08:00:00+00,28,32,Low Demand
176,Qutab Minar Metro Exit,1,2022-04-08 08:00:00+00,33,33,Low Demand
177,Kashmere Gate Metro Interchange,1,2022-04-09 14:00:00+00,2,48,Balanced
178,Qutab Minar Metro Exit,1,2022-04-12 14:00:00+00,35,73,Low Demand
179,Qutab Minar Metro Exit,1,2022-04-13 11:00:00+00,19,34,Balanced
180,Chandni Chowk Metro Gate 3,1,2022-05-01 17:00:00+00,17,10,Balanced
181,Kashmere Gate Metro Interchange,1,2022-05-05 14:00:00+00,18,56,Balanced
182,Kashmere Gate Metro Interchange,1,2022-05-12 14:00:00+00,20,57,Balanced
183,Qutab Minar Metro Exit,1,2022-05-27 08:00:00+00,35,56,Low Demand
184,Qutab Minar Metro Exit,1,2022-06-26 08:00:00+00,4,46,Balanced
185,Chandni Chowk Metro Gate 3,1,2022-06-30 17:00:00+00,26,67,Low Demand
186,Qutab Minar Metro Exit,1,2022-07-01 17:00:00+00,7,79,High Demand
187,Kashmere Gate ISBT,1,2022-07-03 08:00:00+00,27,77,Low Demand
188,Kashmere Gate Metro Interchange,1,2022-07-05 08:00:00+00,21,69,Balanced
189,Kashmere Gate Metro Interchange,1,2022-07-13 08:00:00+00,28,12,Low Demand
190,Kashmere Gate Metro Interchange,1,2022-07-19 11:00:00+00,27,66,Low Demand
191,Kashmere Gate ISBT,1,2022-07-22 08:00:00+00,34,47,Low Demand
192,Chandni Chowk Metro Gate 3,1,2022-07-24 20:00:00+00,22,40,Balanced
193,Qutab Minar Metro Exit,1,2022-07-31 11:00:00+00,33,16,Low Demand
194,Chandni Chowk Metro Gate 3,1,2022-08-01 17:00:00+00,28,62,Low Demand
195,Qutab Minar Metro Exit,1,2022-08-10 20:00:00+00,28,77,Low Demand
196,Kashmere Gate Metro Interchange,1,2022-08-15 14:00:00+00,14,16,Balanced
197,Kashmere Gate ISBT,1,2022-08-19 11:00:00+00,32,36,Low Demand
198,Chandni Chowk Metro Gate 3,1,2022-08-20 14:00:00+00,2,37,Balanced
199,Qutab Minar Metro Exit,1,2022-08-21 08:00:00+00,17,36,Balanced
200,Kashmere Gate Metro Interchange,1,2022-08-30 17:00:00+00,32,50,Low Demand
201,Chandni Chowk Metro Gate 3,1,2022-08-31 14:00:00+00,28,15,Low Demand
202,Qutab Minar Metro Exit,1,2022-09-05 20:00:00+00,20,29,Balanced
203,Chandni Chowk Metro Gate 3,1,2022-09-11 14:00:00+00,33,72,Low Demand
204,Kashmere Gate Metro Interchange,1,2022-09-18 08:00:00+00,6,16,Balanced
205,Qutab Minar Metro Exit,1,2022-10-07 08:00:00+00,13,23,Balanced
206,Kashmere Gate ISBT,1,2022-10-08 20:00:00+00,17,34,Balanced
207,Kashmere Gate ISBT,1,2022-10-14 17:00:00+00,16,48,Balanced
208,Kashmere Gate Metro Interchange,1,2022-10-18 08:00:00+00,27,58,Low Demand
209,Kashmere Gate Metro Interchange,1,2022-10-27 08:00:00+00,16,37,Balanced
210,Qutab Minar Metro Exit,1,2022-10-28 20:00:00+00,19,15,Balanced
211,Kashmere Gate Metro Interchange,1,2022-10-29 14:00:00+00,13,50,Balanced
212,Kashmere Gate ISBT,1,2022-11-04 14:00:00+00,17,59,Balanced
213,Kashmere Gate Metro Interchange,1,2022-11-20 14:00:00+00,19,67,Balanced
214,Kashmere Gate ISBT,1,2022-11-23 17:00:00+00,26,20,Low Demand
215,Chandni Chowk Metro Gate 3,1,2022-12-05 17:00:00+00,19,23,Balanced
216,Kashmere Gate ISBT,1,2022-12-20 11:00:00+00,26,31,Low Demand
217,Regal Cinema Colaba Stop,2,2019-01-05 14:00:00+00,26,52,Low Demand
218,Mumbai Central Bus Depot,2,2019-01-20 11:00:00+00,26,45,Low Demand
219,Regal Cinema Colaba Stop,2,2019-01-29 17:00:00+00,15,66,Balanced
220,Regal Cinema Colaba Stop,2,2019-02-15 17:00:00+00,4,56,High Demand
221,CSMT Railway & Metro Station,2,2019-02-19 08:00:00+00,24,31,Balanced
222,Mumbai Central Bus Depot,2,2019-02-22 17:00:00+00,29,23,Low Demand
223,Regal Cinema Colaba Stop,2,2019-03-10 08:00:00+00,11,54,Balanced
224,Regal Cinema Colaba Stop,2,2019-03-26 11:00:00+00,13,80,Balanced
225,Mumbai Central Bus Depot,2,2019-03-29 11:00:00+00,13,33,Balanced
226,Mumbai Central Bus Depot,2,2019-04-12 11:00:00+00,22,35,Balanced
227,Regal Cinema Colaba Stop,2,2019-04-15 20:00:00+00,22,59,Balanced
228,CSMT Railway & Metro Station,2,2019-05-09 20:00:00+00,33,46,Low Demand
229,Regal Cinema Colaba Stop,2,2019-05-18 20:00:00+00,33,62,Low Demand
230,Regal Cinema Colaba Stop,2,2019-06-12 08:00:00+00,17,48,Balanced
231,Mumbai Central Bus Depot,2,2019-06-13 08:00:00+00,18,54,Balanced
232,Mumbai Central Bus Depot,2,2019-06-14 08:00:00+00,9,40,Balanced
233,Regal Cinema Colaba Stop,2,2019-06-18 20:00:00+00,29,31,Low Demand
234,Mumbai Central Bus Depot,2,2019-06-27 14:00:00+00,19,75,Balanced
235,CSMT Railway & Metro Station,2,2019-06-28 08:00:00+00,28,17,Low Demand
236,Regal Cinema Colaba Stop,2,2019-06-29 11:00:00+00,10,41,Balanced
237,Mumbai Central Bus Depot,2,2019-07-15 17:00:00+00,22,10,Balanced
238,Regal Cinema Colaba Stop,2,2019-07-16 08:00:00+00,31,55,Low Demand
239,Mumbai Central Bus Depot,2,2019-07-17 20:00:00+00,15,64,Balanced
240,Regal Cinema Colaba Stop,2,2019-07-24 14:00:00+00,5,15,Balanced
241,Mumbai Central Bus Depot,2,2019-07-29 17:00:00+00,2,64,High Demand
242,CSMT Railway & Metro Station,2,2019-08-04 14:00:00+00,25,42,Balanced
243,Mumbai Central Bus Depot,2,2019-08-23 11:00:00+00,6,39,Balanced
244,Mumbai Central Bus Depot,2,2019-08-28 11:00:00+00,10,28,Balanced
245,Regal Cinema Colaba Stop,2,2019-09-05 20:00:00+00,30,37,Low Demand
246,CSMT Railway & Metro Station,2,2019-09-11 14:00:00+00,17,45,Balanced
247,Regal Cinema Colaba Stop,2,2019-09-17 08:00:00+00,21,36,Balanced
248,Mumbai Central Bus Depot,2,2019-09-23 11:00:00+00,26,24,Low Demand
249,Mumbai Central Bus Depot,2,2019-09-27 08:00:00+00,22,26,Balanced
250,CSMT Railway & Metro Station,2,2019-10-04 08:00:00+00,6,11,Balanced
251,Regal Cinema Colaba Stop,2,2019-11-12 20:00:00+00,18,31,Balanced
252,CSMT Railway & Metro Station,2,2019-11-15 08:00:00+00,23,64,Balanced
253,CSMT Railway & Metro Station,2,2019-12-03 11:00:00+00,32,56,Low Demand
254,Regal Cinema Colaba Stop,2,2019-12-06 08:00:00+00,28,38,Low Demand
255,CSMT Railway & Metro Station,2,2019-12-14 11:00:00+00,35,15,Low Demand
256,Mumbai Central Bus Depot,2,2019-12-15 08:00:00+00,20,49,Balanced
257,CSMT Railway & Metro Station,2,2019-12-28 11:00:00+00,2,62,High Demand
258,Mumbai Central Bus Depot,2,2020-01-09 17:00:00+00,5,28,Balanced
259,Mumbai Central Bus Depot,2,2020-01-12 20:00:00+00,25,68,Balanced
260,Regal Cinema Colaba Stop,2,2020-01-13 08:00:00+00,8,74,High Demand
261,Mumbai Central Bus Depot,2,2020-01-19 11:00:00+00,18,50,Balanced
262,Regal Cinema Colaba Stop,2,2020-01-20 17:00:00+00,22,50,Balanced
263,Regal Cinema Colaba Stop,2,2020-01-23 11:00:00+00,8,29,Balanced
264,CSMT Railway & Metro Station,2,2020-02-01 08:00:00+00,21,15,Balanced
265,CSMT Railway & Metro Station,2,2020-02-03 11:00:00+00,17,55,Balanced
266,Regal Cinema Colaba Stop,2,2020-02-09 17:00:00+00,17,22,Balanced
267,CSMT Railway & Metro Station,2,2020-02-15 11:00:00+00,27,57,Low Demand
268,Regal Cinema Colaba Stop,2,2020-02-17 08:00:00+00,18,19,Balanced
269,CSMT Railway & Metro Station,2,2020-02-20 17:00:00+00,7,52,High Demand
270,CSMT Railway & Metro Station,2,2020-02-22 08:00:00+00,29,60,Low Demand
271,Mumbai Central Bus Depot,2,2020-02-27 14:00:00+00,30,29,Low Demand
272,CSMT Railway & Metro Station,2,2020-03-09 20:00:00+00,3,58,High Demand
273,Mumbai Central Bus Depot,2,2020-03-14 20:00:00+00,26,44,Low Demand
274,CSMT Railway & Metro Station,2,2020-03-18 14:00:00+00,32,77,Low Demand
275,Mumbai Central Bus Depot,2,2020-03-29 20:00:00+00,24,32,Balanced
276,Regal Cinema Colaba Stop,2,2020-04-03 08:00:00+00,24,28,Balanced
277,Regal Cinema Colaba Stop,2,2020-04-06 17:00:00+00,21,32,Balanced
278,CSMT Railway & Metro Station,2,2020-04-13 11:00:00+00,23,32,Balanced
279,CSMT Railway & Metro Station,2,2020-04-14 14:00:00+00,3,28,Balanced
280,Regal Cinema Colaba Stop,2,2020-04-16 08:00:00+00,25,19,Balanced
281,Regal Cinema Colaba Stop,2,2020-04-18 17:00:00+00,8,53,High Demand
282,Regal Cinema Colaba Stop,2,2020-04-22 17:00:00+00,22,32,Balanced
283,Mumbai Central Bus Depot,2,2020-04-25 20:00:00+00,16,32,Balanced
284,CSMT Railway & Metro Station,2,2020-05-03 20:00:00+00,13,50,Balanced
285,CSMT Railway & Metro Station,2,2020-05-04 20:00:00+00,8,73,High Demand
286,Regal Cinema Colaba Stop,2,2020-05-08 11:00:00+00,7,52,High Demand
287,Mumbai Central Bus Depot,2,2020-05-18 17:00:00+00,26,54,Low Demand
288,CSMT Railway & Metro Station,2,2020-05-22 11:00:00+00,30,19,Low Demand
289,Regal Cinema Colaba Stop,2,2020-05-29 11:00:00+00,6,80,High Demand
290,Mumbai Central Bus Depot,2,2020-05-30 08:00:00+00,32,13,Low Demand
291,Regal Cinema Colaba Stop,2,2020-06-06 17:00:00+00,18,46,Balanced
292,CSMT Railway & Metro Station,2,2020-06-21 17:00:00+00,21,60,Balanced
293,CSMT Railway & Metro Station,2,2020-06-23 14:00:00+00,26,33,Low Demand
294,Regal Cinema Colaba Stop,2,2020-07-13 17:00:00+00,17,70,Balanced
295,Regal Cinema Colaba Stop,2,2020-07-16 08:00:00+00,35,28,Low Demand
296,CSMT Railway & Metro Station,2,2020-07-20 11:00:00+00,10,15,Balanced
297,CSMT Railway & Metro Station,2,2020-07-22 17:00:00+00,11,43,Balanced
298,Mumbai Central Bus Depot,2,2020-07-29 20:00:00+00,2,76,High Demand
299,CSMT Railway & Metro Station,2,2020-08-04 08:00:00+00,8,46,Balanced
300,Mumbai Central Bus Depot,2,2020-08-05 14:00:00+00,18,59,Balanced
301,CSMT Railway & Metro Station,2,2020-08-15 11:00:00+00,32,44,Low Demand
302,Mumbai Central Bus Depot,2,2020-08-16 08:00:00+00,21,49,Balanced
303,Mumbai Central Bus Depot,2,2020-08-21 11:00:00+00,30,51,Low Demand
304,Regal Cinema Colaba Stop,2,2020-08-30 08:00:00+00,12,18,Balanced
305,CSMT Railway & Metro Station,2,2020-09-03 20:00:00+00,13,34,Balanced
306,CSMT Railway & Metro Station,2,2020-09-04 11:00:00+00,17,14,Balanced
307,Mumbai Central Bus Depot,2,2020-09-06 11:00:00+00,25,69,Balanced
308,Regal Cinema Colaba Stop,2,2020-09-14 20:00:00+00,24,54,Balanced
309,Mumbai Central Bus Depot,2,2020-09-16 08:00:00+00,3,59,High Demand
310,CSMT Railway & Metro Station,2,2020-09-18 11:00:00+00,16,36,Balanced
311,Regal Cinema Colaba Stop,2,2020-09-25 11:00:00+00,2,38,Balanced
312,Mumbai Central Bus Depot,2,2020-09-29 14:00:00+00,26,54,Low Demand
313,Regal Cinema Colaba Stop,2,2020-10-07 14:00:00+00,20,48,Balanced
314,CSMT Railway & Metro Station,2,2020-10-15 14:00:00+00,11,76,Balanced
315,Mumbai Central Bus Depot,2,2020-10-17 20:00:00+00,22,27,Balanced
316,Mumbai Central Bus Depot,2,2020-10-20 14:00:00+00,27,59,Low Demand
317,Mumbai Central Bus Depot,2,2020-10-23 11:00:00+00,16,78,Balanced
318,Regal Cinema Colaba Stop,2,2020-10-26 14:00:00+00,21,31,Balanced
319,Mumbai Central Bus Depot,2,2020-10-28 11:00:00+00,8,70,High Demand
320,CSMT Railway & Metro Station,2,2020-11-13 17:00:00+00,6,70,High Demand
321,CSMT Railway & Metro Station,2,2020-11-14 20:00:00+00,26,77,Low Demand
322,CSMT Railway & Metro Station,2,2020-11-17 11:00:00+00,23,62,Balanced
323,CSMT Railway & Metro Station,2,2020-11-18 17:00:00+00,22,33,Balanced
