location_id,state,city,latitude,longitude
124,Andhra Pradesh,Vijayawada,16.511531,80.616047
125,Andhra Pradesh,Visakhapatnam,17.693553,83.29213
126,Andhra Pradesh,Srisailam,16.073781,78.872707
127,Andhra Pradesh,Kurnool,15.830925,78.042537
128,Sikkim,Gangtok,27.329046,88.612267
129,Sikkim,Pelling,27.300372,88.23565
130,Sikkim,Namchi,27.303102,88.378596
131,Sikkim,Ravangla,27.305127,88.364472
132,Assam,Guwahati,26.180598,91.753943
133,Assam,Kaziranga,26.658105,93.392744
134,Arunachal Pradesh,Tawang,27.587919,91.863733
135,Tripura,Agartala,23.831238,91.282382
136,Nagaland,Kohima,25.661876,94.101916
137,Meghalaya,Cherrapunji,25.277734,91.729242
138,Chhattisgarh,Bastar,19.119128,81.829187
139,Chhattisgarh,Raipur,21.238091,81.633699
140,Jharkhand,Deoghar,24.489832,86.699018
141,Jharkhand,Ranchi,23.37005,85.325039
142,Bihar,Bodh Gaya,24.6979,84.9921
143,Bihar,Patna,25.609324,85.123525
144,Haryana,Gurugram,28.464615,77.029919
145,Uttarakhand,Kedarnath,30.733888,79.066907
146,Puducherry,Puducherry,11.934057,79.830645
147,Andaman and Nicobar Islands,Port Blair,11.664535,92.739045
148,Delhi,New Delhi,28.613895,77.209006
149,Haryana,Gurugram,28.428262,77.0027
150,Uttar Pradesh,Noida,28.570633,77.327215
151,Uttar Pradesh,Ghaziabad,28.774997,77.458697
152,Haryana,Faridabad,28.403148,77.310556
