booking_id,location_id,booking_date,booking_time,status,entry_fee_inr,visit_duration_min,wait_time_min,surge_multiplier
2143,54,2020-04-27,14:00:00,Completed,50,102,6,1.7
2144,55,2020-05-23,18:00:00,Completed,50,177,24,2.3
2145,56,2022-06-29,08:00:00,Completed,30,177,11,2.3
2146,57,2021-04-09,10:00:00,Completed,350,34,35,2.5
2147,58,2021-04-04,17:00:00,Completed,50,150,11,2.3
2148,59,2020-03-19,09:00:00,Completed,30,140,28,2.1
2149,60,2021-05-10,08:00:00,Completed,50,76,44,1.7
2150,61,2019-01-28,19:00:00,No-Show,500,90,27,2.3
2151,62,2020-03-01,18:00:00,No-Show,200,118,20,1.9
2152,63,2020-03-03,13:00:00,No-Show,100,150,36,1.0
2153,64,2022-03-31,15:00:00,Completed,100,150,5,1.5
2154,65,2020-01-13,19:00:00,No-Show,0,136,44,1.3
2155,66,2021-02-18,08:00:00,No-Show,30,155,17,2.2
2156,67,2022-04-19,14:00:00,Cancelled,30,129,15,2.3
2157,68,2020-04-30,10:00:00,Completed,50,140,17,2.4
2158,69,2021-06-26,14:00:00,Completed,200,116,11,1.4
2159,70,2019-04-05,08:00:00,Cancelled,200,169,18,1.1
2160,71,2021-04-15,18:00:00,Completed,200,118,36,1.2
2161,72,2019-01-30,12:00:00,Completed,30,164,19,2.1
2162,73,2019-06-15,19:00:00,Completed,100,177,26,2.3
2163,74,2020-03-28,10:00:00,Completed,200,40,35,2.3
2164,75,2019-01-01,12:00:00,Completed,30,96,38,1.2
2165,76,2019-04-08,08:00:00,Completed,200,62,31,2.2
2166,77,2019-02-22,15:00:00,Completed,350,95,27,1.0
2167,78,2021-06-02,08:00:00,Completed,500,179,16,2.3
2168,79,2021-01-11,18:00:00,Completed,500,68,31,2.3
2169,80,2020-02-05,12:00:00,Completed,30,97,7,1.3
2170,81,2020-06-12,14:00:00,No-Show,100,78,14,1.4
2171,82,2022-06-11,18:00:00,No-Show,0,107,30,1.3
2172,83,2020-06-25,19:00:00,No-Show,0,144,6,1.3
2173,84,2019-04-27,08:00:00,Cancelled,30,169,25,1.8
2174,85,2022-06-16,15:00:00,Completed,350,162,42,1.6
2175,86,2019-05-12,18:00:00,Completed,500,137,28,1.7
2176,87,2020-02-25,12:00:00,Cancelled,0,160,18,1.6
2177,88,2021-01-17,13:00:00,Completed,0,127,25,2.4
2178,89,2021-03-05,13:00:00,No-Show,50,32,36,1.1
2179,90,2022-05-08,11:00:00,No-Show,500,81,21,1.8
2180,91,2020-03-31,15:00:00,Completed,350,177,16,1.5
2181,92,2019-01-10,12:00:00,Completed,200,88,14,1.7
2182,93,2019-05-01,18:00:00,Completed,30,63,12,1.9
2183,94,2022-05-29,18:00:00,Completed,30,62,19,2.5
2184,95,2019-06-17,15:00:00,Completed,0,130,8,1.4
2185,96,2020-05-06,17:00:00,No-Show,30,121,15,2.5
2186,97,2021-03-01,19:00:00,Cancelled,0,164,42,1.8
2187,98,2022-01-20,18:00:00,Cancelled,30,167,18,2.4
2188,99,2021-04-22,09:00:00,Completed,30,84,39,2.3
2189,100,2019-04-30,08:00:00,Cancelled,0,105,41,1.9
2190,101,2021-05-31,15:00:00,Completed,500,131,17,1.6
2191,102,2021-01-05,18:00:00,Completed,100,68,42,1.8
2192,103,2022-04-10,10:00:00,Cancelled,200,96,11,1.6
2193,104,2022-06-03,09:00:00,Completed,100,120,28,1.9
2194,105,2021-03-18,18:00:00,Completed,500,76,25,1.3
2195,106,2022-04-20,16:00:00,Completed,200,47,16,1.4
2196,107,2020-05-31,10:00:00,Completed,30,171,28,1.6
2197,108,2019-05-24,11:00:00,Completed,0,40,43,1.0
2198,109,2019-03-17,16:00:00,Cancelled,0,162,19,1.7
2199,110,2021-02-02,15:00:00,Cancelled,200,99,34,2.2
2200,111,2022-06-04,13:00:00,Completed,350,106,40,2.3
2201,112,2021-06-29,16:00:00,Cancelled,350,138,30,2.4
2202,113,2019-06-13,11:00:00,Completed,500,82,14,1.6
2203,114,2019-06-24,16:00:00,Completed,350,123,8,1.7
2204,115,2021-01-28,13:00:00,Completed,100,175,40,2.3
2205,116,2022-05-26,09:00:00,Completed,350,128,13,1.8
2206,117,2021-05-12,17:00:00,Completed,200,170,42,1.8
2207,118,2021-01-19,12:00:00,Cancelled,0,109,5,1.9
2208,119,2021-05-31,08:00:00,Cancelled,500,66,35,2.1
2209,120,2021-03-14,17:00:00,Cancelled,500,141,25,2.4
2210,121,2021-02-07,16:00:00,No-Show,100,168,6,1.2
2211,122,2020-01-11,17:00:00,No-Show,500,118,39,1.2
2212,123,2021-06-20,09:00:00,Completed,200,118,34,1.9
2213,124,2021-03-24,10:00:00,No-Show,0,112,10,2.0
2214,125,2020-01-31,18:00:00,Completed,0,94,27,1.9
2215,126,2021-06-25,10:00:00,Cancelled,30,44,42,1.8
2216,127,2021-06-16,17:00:00,Cancelled,0,83,14,1.3
2217,128,2020-01-23,19:00:00,Completed,350,48,38,2.2
2218,129,2022-06-05,13:00:00,No-Show,200,80,7,1.6
2219,130,2020-01-10,08:00:00,Completed,500,156,7,1.1
2220,131,2021-01-31,09:00:00,No-Show,500,80,21,2.5
2221,132,2022-06-27,15:00:00,Completed,30,150,36,1.7
2222,133,2021-04-21,11:00:00,Completed,0,49,37,1.2
2223,134,2021-03-03,17:00:00,Completed,50,90,8,1.2
2224,135,2022-06-14,16:00:00,Completed,0,140,38,1.7
2225,136,2020-03-23,19:00:00,No-Show,50,70,16,1.7
2226,137,2021-05-06,08:00:00,Completed,0,176,14,1.3
2227,138,2020-04-25,19:00:00,Completed,100,62,13,1.1
2228,139,2022-03-03,10:00:00,Completed,100,108,36,1.3
2229,140,2022-05-21,17:00:00,Completed,50,125,21,1.6
2230,141,2022-01-01,08:00:00,No-Show,100,38,12,2.3
2231,142,2019-01-19,09:00:00,Completed,100,112,15,1.0
2232,143,2020-03-09,13:00:00,Completed,200,47,44,2.4
2233,144,2021-03-16,16:00:00,Cancelled,200,123,38,2.1
2234,145,2020-02-04,08:00:00,Cancelled,200,132,41,2.1
2235,146,2021-01-28,18:00:00,Completed,30,178,10,2.0
2236,147,2022-01-12,08:00:00,Completed,100,105,27,2.1
2237,148,2022-02-25,15:00:00,Completed,30,149,25,2.3
2238,149,2021-05-16,18:00:00,Completed,200,103,20,1.1
2239,150,2021-06-25,13:00:00,Cancelled,200,59,33,1.9
2240,151,2021-06-12,17:00:00,Completed,350,46,40,1.0
2241,152,2022-01-12,18:00:00,Completed,200,30,31,1.5
2242,1,2020-05-02,15:00:00,No-Show,100,174,44,1.5
2243,2,2022-04-02,10:00:00,Completed,200,138,12,1.7
2244,3,2021-04-05,19:00:00,Completed,500,49,26,2.1
2245,4,2019-04-11,08:00:00,Completed,0,127,36,1.4
2246,5,2022-03-20,19:00:00,Cancelled,50,78,21,2.1
2247,6,2020-04-29,11:00:00,Completed,200,42,16,1.7
2248,7,2020-05-19,12:00:00,Completed,100,71,28,2.1
2249,8,2022-04-12,08:00:00,Completed,350,74,17,1.3
2250,9,2019-03-23,17:00:00,Completed,100,155,20,1.5
2251,10,2022-04-20,17:00:00,Completed,100,39,39,1.4
2252,11,2021-01-18,19:00:00,Completed,350,132,20,1.4
2253,12,2022-05-10,17:00:00,Completed,350,125,11,2.2
2254,13,2021-02-24,16:00:00,Cancelled,50,118,38,1.5
2255,14,2020-02-03,10:00:00,Completed,100,154,33,1.5
2256,15,2019-03-22,12:00:00,Completed,350,167,26,2.2
2257,16,2020-06-06,10:00:00,Completed,100,33,6,2.3
2258,17,2022-01-06,17:00:00,Completed,0,122,12,1.7
2259,18,2020-06-07,10:00:00,Completed,500,62,31,1.9
2260,19,2021-02-04,12:00:00,Completed,0,148,24,1.6
2261,20,2021-06-10,08:00:00,Completed,100,128,11,2.3
2262,21,2019-04-01,13:00:00,No-Show,0,143,23,1.1
2263,22,2019-04-11,11:00:00,Completed,0,132,24,1.9
2264,23,2020-05-05,11:00:00,Cancelled,50,32,44,1.7
2265,24,2021-05-04,17:00:00,No-Show,100,72,10,2.1
2266,25,2021-06-13,10:00:00,Completed,500,43,40,2.0
2267,26,2021-04-21,19:00:00,Completed,500,176,13,1.6
2268,27,2020-03-28,12:00:00,Completed,500,136,44,1.2
2269,28,2021-03-31,08:00:00,Cancelled,30,67,32,1.5
2270,29,2022-06-13,17:00:00,Completed,100,81,11,2.0
2271,30,2019-06-21,12:00:00,No-Show,350,148,14,2.0
2272,31,2020-01-22,17:00:00,No-Show,100,153,36,1.1
2273,32,2021-05-14,12:00:00,Cancelled,200,100,20,1.1
2274,33,2022-05-14,09:00:00,Cancelled,200,155,35,1.4
2275,34,2020-02-21,15:00:00,Completed,50,45,44,1.4
2276,35,2022-06-02,16:00:00,Completed,350,136,40,1.1
2277,36,2022-04-18,14:00:00,Cancelled,30,88,18,1.8
2278,37,2019-04-10,12:00:00,Completed,350,37,39,1.2
2279,38,2022-05-11,16:00:00,Completed,500,43,5,1.7
2280,39,2021-05-06,17:00:00,Completed,30,171,25,2.1
2281,40,2019-04-26,08:00:00,Completed,350,74,17,1.5
2282,41,2022-02-18,10:00:00,Completed,50,175,40,2.1
2283,42,2021-05-28,10:00:00,Completed,50,133,5,1.6
2284,43,2022-06-04,18:00:00,Completed,100,113,24,2.0
2285,44,2020-02-23,18:00:00,No-Show,500,105,39,2.1
2286,45,2019-03-23,19:00:00,Completed,50,48,9,1.2
2287,46,2019-05-31,10:00:00,Completed,350,108,40,2.4
2288,47,2019-01-26,08:00:00,Cancelled,100,39,34,1.5
2289,48,2020-02-24,10:00:00,Completed,500,171,10,2.4
2290,49,2021-01-26,08:00:00,Completed,0,30,33,1.7
2291,50,2022-04-11,14:00:00,Completed,30,102,44,1.4
2292,51,2020-06-06,18:00:00,Completed,200,53,44,1.8
2293,52,2022-03-17,10:00:00,Completed,50,49,12,1.3
2294,53,2019-01-05,14:00:00,No-Show,500,50,36,2.2
2295,54,2022-03-11,13:00:00,Completed,500,152,17,2.5
2296,55,2019-03-14,18:00:00,Cancelled,500,61,8,1.7
2297,56,2019-04-19,12:00:00,No-Show,0,117,5,1.2
2298,57,2020-01-11,08:00:00,Completed,50,121,12,1.4
2299,58,2019-03-03,18:00:00,Completed,500,38,23,1.6
2300,59,2021-01-25,17:00:00,Completed,0,91,20,2.0
2301,60,2020-01-16,12:00:00,Cancelled,350,64,44,2.3
2302,61,2019-04-26,18:00:00,Completed,350,160,43,1.9
2303,62,2020-02-24,14:00:00,Cancelled,500,78,15,1.8
2304,63,2020-04-07,09:00:00,Completed,350,108,13,2.0
2305,64,2022-01-26,13:00:00,Completed,100,42,23,2.5
2306,65,2022-04-21,08:00:00,Completed,200,33,37,1.2
2307,66,2022-04-29,14:00:00,No-Show,50,79,39,1.0
2308,67,2021-05-29,11:00:00,No-Show,350,94,22,2.1
2309,68,2020-05-11,19:00:00,Completed,0,67,15,1.1
2310,69,2019-03-22,10:00:00,No-Show,500,86,42,1.8
2311,70,2021-03-08,16:00:00,Cancelled,0,130,13,2.0
2312,71,2020-04-22,19:00:00,Completed,30,179,41,1.0
2313,72,2021-05-20,09:00:00,Completed,30,168,17,1.6
2314,73,2022-01-07,13:00:00,Completed,350,65,39,2.3
2315,74,2021-01-11,14:00:00,Completed,500,90,43,1.3
2316,75,2020-02-14,14:00:00,Completed,50,121,7,2.2
2317,76,2020-02-20,13:00:00,Completed,350,140,7,2.2
2318,77,2021-06-03,12:00:00,Completed,50,117,42,2.5
2319,78,2019-05-24,18:00:00,No-Show,30,116,32,1.8
2320,79,2019-01-27,19:00:00,Cancelled,100,177,41,1.1
2321,80,2019-01-22,08:00:00,No-Show,100,175,13,2.0
2322,81,2022-03-09,10:00:00,No-Show,100,171,24,1.1
2323,82,2019-06-17,08:00:00,Cancelled,500,37,36,1.7
2324,83,2022-01-24,16:00:00,Completed,200,88,23,1.5
2325,84,2020-01-11,11:00:00,No-Show,50,175,34,1.6
2326,85,2019-05-02,11:00:00,Completed,500,46,8,2.3
2327,86,2022-06-13,15:00:00,Cancelled,100,172,23,1.1
2328,87,2022-03-26,19:00:00,Completed,30,137,15,2.5
2329,88,2019-05-26,12:00:00,No-Show,200,106,19,1.0
2330,89,2021-04-25,15:00:00,Completed,50,63,26,1.1
2331,90,2021-02-09,11:00:00,Cancelled,350,100,28,1.5
2332,91,2020-02-15,12:00:00,Completed,350,35,10,2.4
2333,92,2022-03-01,08:00:00,Cancelled,500,113,6,1.1
2334,93,2019-05-15,18:00:00,Completed,50,38,23,1.6
2335,94,2019-03-02,10:00:00,No-Show,30,133,27,1.6
2336,95,2021-03-30,14:00:00,Completed,100,121,24,2.2
2337,96,2019-02-01,14:00:00,Completed,0,169,29,1.3
2338,97,2020-02-27,17:00:00,No-Show,500,43,40,1.6
2339,98,2020-03-20,09:00:00,No-Show,200,163,12,2.5
2340,99,2020-05-16,16:00:00,Completed,50,37,25,1.4
2341,100,2019-06-09,12:00:00,Completed,100,107,17,1.4
2342,101,2022-01-21,16:00:00,Completed,350,45,42,1.9
2343,102,2019-01-25,13:00:00,Completed,350,115,9,1.8
2344,103,2019-03-10,16:00:00,No-Show,50,100,32,2.2
2345,104,2022-06-09,13:00:00,Completed,350,71,13,1.7
2346,105,2020-05-04,11:00:00,No-Show,500,171,5,2.3
2347,106,2022-06-29,12:00:00,No-Show,200,60,23,1.7
2348,107,2022-02-02,13:00:00,No-Show,50,119,19,1.1
2349,108,2022-05-18,09:00:00,Cancelled,50,120,35,1.8
2350,109,2022-05-08,08:00:00,No-Show,30,107,30,1.6
2351,110,2021-06-21,10:00:00,Completed,200,61,8,1.6
2352,111,2020-03-31,13:00:00,No-Show,350,33,25,2.0
2353,112,2022-01-23,08:00:00,No-Show,30,71,35,1.9
2354,113,2019-02-10,10:00:00,Completed,0,116,44,1.8
2355,114,2019-03-01,19:00:00,Completed,200,120,25,2.3
2356,115,2022-05-27,09:00:00,Completed,350,35,18,1.2
2357,116,2021-04-29,14:00:00,Completed,100,51,23,2.0
2358,117,2022-05-02,17:00:00,Completed,350,112,14,1.6
2359,118,2021-03-19,09:00:00,Completed,100,144,5,1.8
2360,119,2020-04-08,15:00:00,Completed,100,159,15,1.8
2361,120,2021-05-29,13:00:00,Cancelled,350,128,7,2.0
2362,121,2019-03-23,09:00:00,Completed,100,60,39,1.2
2363,122,2019-01-09,16:00:00,Completed,30,82,26,1.5
2364,123,2020-06-14,08:00:00,Completed,0,97,28,1.4
2365,124,2019-01-25,08:00:00,Completed,100,101,16,1.7
2366,125,2022-06-06,10:00:00,Completed,200,41,33,1.8
2367,126,2019-05-13,14:00:00,Completed,100,93,32,2.5
2368,127,2019-05-20,17:00:00,Completed,500,33,24,2.1
2369,128,2021-01-20,16:00:00,Completed,100,102,44,1.7
2370,129,2021-04-25,19:00:00,Completed,30,116,32,2.1
2371,130,2022-01-10,14:00:00,Cancelled,0,78,42,1.7
2372,131,2022-01-24,13:00:00,No-Show,200,52,25,1.0
2373,132,2019-05-08,19:00:00,Cancelled,100,83,15,2.4
2374,133,2022-05-24,18:00:00,No-Show,350,93,29,1.8
2375,134,2020-06-26,19:00:00,No-Show,0,172,17,2.3
2376,135,2020-03-23,08:00:00,Completed,100,140,16,1.7
2377,136,2019-02-10,09:00:00,Completed,50,35,33,2.1
2378,137,2021-04-17,15:00:00,Cancelled,500,142,21,2.2
2379,138,2022-04-12,16:00:00,No-Show,350,30,11,2.3
2380,139,2022-05-24,08:00:00,Completed,50,136,35,1.4
2381,140,2022-02-17,08:00:00,Completed,50,37,43,1.7
2382,141,2022-03-05,14:00:00,Cancelled,100,172,10,2.4
2383,142,2021-02-18,18:00:00,Completed,200,41,5,2.0
2384,143,2019-03-02,09:00:00,Completed,50,123,27,1.1
2385,144,2020-03-14,10:00:00,Completed,50,74,28,1.6
2386,145,2020-02-24,10:00:00,Cancelled,350,123,5,1.7
2387,146,2021-02-25,18:00:00,Completed,100,166,19,2.0
2388,147,2021-02-20,16:00:00,Completed,350,48,37,1.3
2389,148,2019-05-30,19:00:00,Cancelled,350,36,28,1.2
2390,149,2021-03-12,08:00:00,Completed,500,141,7,1.4
2391,150,2021-02-28,08:00:00,Cancelled,30,36,32,1.6
2392,151,2022-01-06,19:00:00,Completed,50,47,44,2.1
2393,152,2020-01-30,19:00:00,Completed,50,137,32,1.6
2394,1,2021-01-02,09:00:00,Completed,50,168,44,1.7
2395,2,2019-01-24,17:00:00,Completed,350,139,31,1.8
2396,3,2022-04-26,09:00:00,Completed,30,157,32,1.6
2397,4,2020-02-24,18:00:00,Completed,500,157,12,2.1
2398,5,2020-03-11,18:00:00,No-Show,30,72,43,1.9
2399,6,2020-06-27,17:00:00,No-Show,350,36,24,2.4
2400,7,2020-01-06,08:00:00,Completed,200,141,26,1.6
2401,8,2022-05-29,15:00:00,Completed,0,176,39,2.0
2402,9,2021-06-27,11:00:00,Completed,30,179,24,2.0
2403,10,2019-03-05,17:00:00,Completed,30,141,39,1.2
2404,11,2019-01-16,17:00:00,Cancelled,50,110,42,1.9
2405,12,2022-06-29,08:00:00,Completed,30,106,20,1.6
2406,13,2020-03-10,08:00:00,Cancelled,350,99,13,1.5
2407,14,2020-04-29,10:00:00,No-Show,30,126,5,2.5
2408,15,2019-06-06,11:00:00,Completed,350,46,15,1.1
2409,16,2019-01-17,12:00:00,No-Show,350,38,37,1.5
2410,17,2019-01-29,09:00:00,Completed,350,119,20,1.7
2411,18,2020-05-16,19:00:00,No-Show,100,122,23,1.8
2412,19,2022-04-07,18:00:00,Completed,500,100,44,1.8
2413,20,2019-06-06,14:00:00,Completed,0,31,43,2.4
2414,21,2019-01-01,12:00:00,Cancelled,50,68,6,1.6
2415,22,2019-02-09,09:00:00,Completed,200,120,22,1.1
2416,23,2020-06-26,08:00:00,No-Show,350,146,9,2.1
2417,24,2020-01-31,08:00:00,Completed,200,174,9,1.1
2418,25,2022-02-06,11:00:00,Completed,200,164,36,1.6
2419,26,2021-06-21,10:00:00,No-Show,200,171,22,1.6
2420,27,2020-05-02,17:00:00,Completed,100,174,29,1.1
2421,28,2021-05-23,12:00:00,Completed,50,76,21,1.3
2422,29,2019-01-05,08:00:00,No-Show,50,157,31,1.9
2423,30,2020-03-02,19:00:00,Completed,0,144,5,2.3
2424,31,2020-03-03,18:00:00,Cancelled,30,75,34,1.2
2425,32,2022-01-09,16:00:00,Completed,200,44,33,1.1
2426,33,2020-04-08,09:00:00,Completed,100,46,23,1.2
2427,34,2019-04-25,10:00:00,Cancelled,30,147,39,1.8
2428,35,2021-01-01,11:00:00,Completed,350,65,15,1.3
2429,36,2022-05-02,17:00:00,Completed,0,150,43,2.5
2430,37,2021-02-05,09:00:00,Cancelled,500,130,5,1.3
2431,38,2019-04-12,13:00:00,Completed,0,108,16,1.0
2432,39,2021-01-30,18:00:00,Completed,100,176,14,1.8
2433,40,2022-03-23,16:00:00,Completed,350,179,14,1.9
2434,41,2022-05-26,17:00:00,Completed,500,159,15,1.1
2435,42,2020-02-02,11:00:00,Completed,100,116,29,1.5
2436,43,2019-03-01,19:00:00,Completed,30,41,17,2.1
2437,44,2022-03-12,16:00:00,Completed,50,34,40,2.5
2438,45,2022-01-05,09:00:00,Completed,100,141,24,1.3
2439,46,2021-01-06,18:00:00,Completed,200,70,26,1.0
2440,47,2021-02-24,16:00:00,Completed,30,67,18,1.4
2441,48,2022-03-28,17:00:00,Completed,100,179,11,2.1
2442,49,2022-04-10,19:00:00,Completed,50,83,7,2.0
2443,50,2019-05-18,14:00:00,Completed,350,88,28,2.4
2444,51,2022-04-01,10:00:00,Completed,500,83,20,1.4
2445,52,2021-04-11,16:00:00,Completed,50,134,30,1.8
2446,53,2019-03-09,18:00:00,Completed,200,129,29,1.8
2447,54,2021-01-25,14:00:00,No-Show,350,132,31,1.8
2448,55,2020-04-26,16:00:00,Cancelled,200,144,19,2.0
2449,56,2021-04-13,12:00:00,Cancelled,0,85,14,1.1
2450,57,2022-01-05,09:00:00,Completed,500,144,37,2.2
2451,58,2021-03-10,19:00:00,Completed,30,131,40,2.5
2452,59,2021-04-10,18:00:00,No-Show,0,58,22,2.1
2453,60,2022-06-26,17:00:00,Completed,350,57,41,2.0
2454,61,2022-02-03,14:00:00,Completed,50,174,23,1.8
2455,62,2020-03-26,12:00:00,No-Show,100,34,19,2.3
2456,63,2021-01-31,19:00:00,Completed,200,58,30,1.2
2457,64,2019-05-25,18:00:00,Completed,500,126,43,1.6
2458,65,2022-06-07,19:00:00,Completed,500,157,40,2.4
2459,66,2020-04-06,15:00:00,Cancelled,350,162,13,1.4
2460,67,2019-05-29,13:00:00,Cancelled,350,122,38,1.1
2461,68,2021-03-01,15:00:00,No-Show,50,167,25,2.2
2462,69,2022-06-26,18:00:00,Cancelled,100,79,14,2.3
2463,70,2019-01-27,09:00:00,Completed,30,142,30,2.1
2464,71,2022-02-02,09:00:00,Completed,350,74,30,1.4
2465,72,2019-02-08,19:00:00,Cancelled,350,72,41,1.4
2466,73,2019-04-19,17:00:00,Completed,50,140,42,1.3
2467,74,2021-02-27,17:00:00,Completed,500,59,40,1.9
2468,75,2020-05-12,12:00:00,Cancelled,200,82,26,1.7
2469,76,2022-03-12,08:00:00,Completed,30,36,15,1.4
2470,77,2020-02-23,18:00:00,Completed,350,67,17,1.2
2471,78,2021-02-07,17:00:00,Cancelled,50,159,19,1.6
2472,79,2022-05-18,19:00:00,Cancelled,500,85,13,1.2
2473,80,2020-05-10,16:00:00,Completed,500,142,8,1.3
2474,81,2022-02-04,12:00:00,Completed,500,72,31,2.2
2475,82,2019-05-17,18:00:00,Completed,500,152,35,2.4
2476,83,2019-01-05,16:00:00,No-Show,30,123,10,1.3
2477,84,2022-05-05,14:00:00,Completed,100,143,7,1.2
2478,85,2019-02-28,18:00:00,Completed,200,68,34,2.1
2479,86,2022-01-01,09:00:00,Completed,30,134,41,2.5
2480,87,2022-05-06,14:00:00,Completed,100,136,7,1.9
2481,88,2021-05-20,11:00:00,Completed,30,149,15,1.7
2482,89,2020-05-22,14:00:00,No-Show,0,65,30,1.1
2483,90,2021-05-24,12:00:00,Cancelled,350,115,17,2.5
2484,91,2020-04-13,08:00:00,Completed,350,112,38,1.2
2485,92,2022-01-16,18:00:00,Cancelled,350,123,19,2.5
2486,93,2020-05-04,13:00:00,No-Show,50,71,9,1.3
2487,94,2020-05-01,09:00:00,Completed,200,124,6,1.7
2488,95,2022-06-29,19:00:00,Completed,200,92,38,2.3
2489,96,2020-06-15,18:00:00,Completed,50,83,9,2.1
2490,97,2022-03-18,16:00:00,Cancelled,350,160,40,1.6
2491,98,2019-05-12,16:00:00,Completed,100,61,38,1.4
2492,99,2019-06-06,15:00:00,Cancelled,50,152,9,2.1
2493,100,2022-05-10,11:00:00,Completed,500,133,20,1.0
2494,101,2020-02-03,17:00:00,Completed,0,55,25,1.1
2495,102,2022-02-06,18:00:00,Completed,350,171,23,1.4
2496,103,2022-06-11,19:00:00,Completed,100,40,37,1.1
2497,104,2022-01-25,15:00:00,No-Show,30,54,24,2.1
2498,105,2019-05-11,08:00:00,No-Show,30,61,10,1.6
2499,106,2021-03-02,19:00:00,No-Show,500,174,42,1.0
2500,107,2020-03-29,11:00:00,Completed,500,102,34,1.0
2501,108,2019-03-12,17:00:00,Cancelled,0,74,38,1.4
2502,109,2021-05-17,18:00:00,No-Show,500,154,11,2.2
2503,110,2019-01-12,18:00:00,No-Show,30,134,40,2.1
2504,111,2022-06-02,10:00:00,Completed,50,104,16,1.2
2505,112,2019-03-15,16:00:00,No-Show,500,102,36,2.0
2506,113,2020-04-24,08:00:00,Completed,30,40,36,1.4
2507,114,2019-06-17,11:00:00,Completed,500,154,35,1.1
2508,115,2021-05-11,18:00:00,Cancelled,500,161,32,1.1
2509,116,2020-04-23,16:00:00,Completed,200,52,19,1.6
2510,117,2022-01-02,16:00:00,Completed,0,102,16,1.4
2511,118,2021-03-29,15:00:00,Cancelled,0,96,8,1.9
2512,119,2019-04-11,16:00:00,No-Show,200,166,35,2.3
2513,120,2020-03-06,18:00:00,Completed,200,158,29,1.9
2514,121,2022-01-08,09:00:00,Completed,30,155,44,1.1
2515,122,2020-06-14,11:00:00,No-Show,500,161,15,2.3
